BI Reference,Year,Quarter,Data Subject Type,Data Type,Decision Taken,Incident Category,Incident Type,No. Data Subjects Affected,Sector,Time Taken to Report
BI1238,2024,Qtr 1,Members of the public,Official documents,Ongoing,Non Cyber,Not Provided,1 to 9,Education and childcare,24 hours to 72 hours
BI1238,2024,Qtr 1,Members of the public,Location data,Ongoing,Non Cyber,Not Provided,1 to 9,Education and childcare,24 hours to 72 hours
BI1238,2024,Qtr 1,Members of the public,Basic personal identifiers,Ongoing,Non Cyber,Not Provided,1 to 9,Education and childcare,24 hours to 72 hours
BI1239,2024,Qtr 1,Users,Criminal offence data,No Further Action,Non Cyber,Not Provided,100 to 1k,Land or property services,More than 1 week
BI1239,2024,Qtr 1,Users,Health data,No Further Action,Non Cyber,Not Provided,100 to 1k,Land or property services,More than 1 week
BI1239,2024,Qtr 1,Users,Official documents,No Further Action,Non Cyber,Not Provided,100 to 1k,Land or property services,More than 1 week
BI1240,2024,Qtr 1,Service users,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Not Provided,10k to 100k,"Finance, insurance and credit",72 hours to 1 week
BI1240,2024,Qtr 1,Service users,Location data,No Further Action,Non Cyber,Not Provided,10k to 100k,"Finance, insurance and credit",72 hours to 1 week
BI1241,2024,Qtr 1,Subscribers,Identification data,No Further Action,Cyber,Ransomware,10 to 99,Local government,More than 1 week
BI1242,2024,Qtr 1,Patients,Data revealing racial or ethnic origin,Investigation Pursued,Non Cyber,Data left on screen in public location,1k to 10k,Health,72 hours to 1 week
BI1243,2024,Qtr 1,Employees,Data revealing racial or ethnic origin,Investigation Pursued,Non Cyber,Loss/theft of device containing personal data,10 to 99,Health,24 hours to 72 hours
BI1243,2024,Qtr 1,Employees,Identification data,Investigation Pursued,Non Cyber,Loss/theft of device containing personal data,10 to 99,Health,24 hours to 72 hours
BI1244,2024,Qtr 1,Members of the public,Economic and financial data,Ongoing,Non Cyber,Data emailed to incorrect recipient,1 to 9,Education and childcare,24 hours to 72 hours
BI1244,2024,Qtr 1,Members of the public,Criminal offence data,Ongoing,Non Cyber,Data emailed to incorrect recipient,1 to 9,Education and childcare,24 hours to 72 hours
BI1244,2024,Qtr 1,Members of the public,Data revealing racial or ethnic origin,Ongoing,Non Cyber,Data emailed to incorrect recipient,1 to 9,Education and childcare,24 hours to 72 hours
BI1244,2024,Qtr 1,Members of the public,Official documents,Ongoing,Non Cyber,Data emailed to incorrect recipient,1 to 9,Education and childcare,24 hours to 72 hours
BI1245,2024,Qtr 1,Patients,Basic personal identifiers,Investigation Pursued,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Charitable and voluntary,Less than 24 hours
BI1246,2024,Qtr 1,Service users,Economic and financial data,Ongoing,Non Cyber,Data emailed to incorrect recipient,10 to 99,Health,72 hours to 1 week
BI1246,2024,Qtr 1,Service users,Criminal offence data,Ongoing,Non Cyber,Data emailed to incorrect recipient,10 to 99,Health,72 hours to 1 week
BI1247,2024,Qtr 1,Members of the public,Identification data,Investigation Pursued,Non Cyber,Failure to redact,10 to 99,Land or property services,Less than 24 hours
BI1248,2024,Qtr 1,Employees,Health data,Investigation Pursued,Non Cyber,Not Provided,100 to 1k,Local government,Less than 24 hours
BI1249,2024,Qtr 1,Service users,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Data emailed to incorrect recipient,1k to 10k,Education and childcare,72 hours to 1 week
BI1250,2024,Qtr 1,Employees,Health data,Action Taken,Non Cyber,Not Provided,10 to 99,Local government,24 hours to 72 hours
BI1251,2024,Qtr 1,Employees,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Data emailed to incorrect recipient,1 to 9,Education and childcare,24 hours to 72 hours
BI1251,2024,Qtr 1,Employees,Identification data,No Further Action,Non Cyber,Data emailed to incorrect recipient,1 to 9,Education and childcare,24 hours to 72 hours
BI1252,2024,Qtr 1,Subscribers,Economic and financial data,No Further Action,Non Cyber,Not Provided,1 to 9,General business,More than 1 week
BI1253,2024,Qtr 1,Service users,Criminal offence data,No Further Action,Non Cyber,Not Provided,1 to 9,Transport and leisure,More than 1 week
BI1254,2024,Qtr 1,Children,Location data,No Further Action,Non Cyber,Not Provided,1 to 9,Legal,24 hours to 72 hours
BI1254,2024,Qtr 1,Children,Basic personal identifiers,No Further Action,Non Cyber,Not Provided,1 to 9,Legal,24 hours to 72 hours
BI1254,2024,Qtr 1,Children,Economic and financial data,No Further Action,Non Cyber,Not Provided,1 to 9,Legal,24 hours to 72 hours
BI1255,2024,Qtr 1,Users,Health data,Investigation Pursued,Non Cyber,Verbal disclosure of personal data,10 to 99,Local government,72 hours to 1 week
BI1256,2024,Qtr 1,Children,Data revealing racial or ethnic origin,No Further Action,Cyber,Ransomware,10 to 99,Charitable and voluntary,More than 1 week
BI1256,2024,Qtr 1,Children,Basic personal identifiers,No Further Action,Cyber,Ransomware,10 to 99,Charitable and voluntary,More than 1 week
BI1257,2024,Qtr 1,Subscribers,Identification data,Action Taken,Cyber,Ransomware,10 to 99,"Finance, insurance and credit",24 hours to 72 hours
BI1257,2024,Qtr 1,Subscribers,Health data,Action Taken,Cyber,Ransomware,10 to 99,"Finance, insurance and credit",24 hours to 72 hours
BI1257,2024,Qtr 1,Subscribers,Official documents,Action Taken,Cyber,Ransomware,10 to 99,"Finance, insurance and credit",24 hours to 72 hours
BI1257,2024,Qtr 1,Subscribers,Location data,Action Taken,Cyber,Ransomware,10 to 99,"Finance, insurance and credit",24 hours to 72 hours
BI1258,2024,Qtr 1,Employees,Official documents,Investigation Pursued,Non Cyber,Failure to redact,100 to 1k,Transport and leisure,24 hours to 72 hours
BI1258,2024,Qtr 1,Employees,Location data,Investigation Pursued,Non Cyber,Failure to redact,100 to 1k,Transport and leisure,24 hours to 72 hours
BI1258,2024,Qtr 1,Employees,Economic and financial data,Investigation Pursued,Non Cyber,Failure to redact,100 to 1k,Transport and leisure,24 hours to 72 hours
BI1259,2024,Qtr 1,Service users,Health data,Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,10k to 100k,Education and childcare,Less than 24 hours
BI1259,2024,Qtr 1,Service users,Criminal offence data,Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,10k to 100k,Education and childcare,Less than 24 hours
BI1260,2024,Qtr 1,Service users,Identification data,Action Taken,Cyber,Brute force attack,1 to 9,Central government,Less than 24 hours
BI1260,2024,Qtr 1,Service users,Data revealing racial or ethnic origin,Action Taken,Cyber,Brute force attack,1 to 9,Central government,Less than 24 hours
BI1261,2024,Qtr 1,Users,Health data,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,General business,24 hours to 72 hours
BI1261,2024,Qtr 1,Users,Identification data,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,General business,24 hours to 72 hours
BI1261,2024,Qtr 1,Users,Location data,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,General business,24 hours to 72 hours
BI1262,2024,Qtr 1,Subscribers,Health data,Investigation Pursued,Cyber,Ransomware,100 to 1k,Legal,24 hours to 72 hours
BI1262,2024,Qtr 1,Subscribers,Official documents,Investigation Pursued,Cyber,Ransomware,100 to 1k,Legal,24 hours to 72 hours
BI1262,2024,Qtr 1,Subscribers,Identification data,Investigation Pursued,Cyber,Ransomware,100 to 1k,Legal,24 hours to 72 hours
BI1263,2024,Qtr 1,Subscribers,Location data,Action Taken,Cyber,Ransomware,10 to 99,Transport and leisure,More than 1 week
BI1264,2024,Qtr 1,Customers or prospective customers,Criminal offence data,Action Taken,Non Cyber,Not Provided,100 to 1k,Local government,72 hours to 1 week
BI1265,2024,Qtr 1,Users,Economic and financial data,Ongoing,Cyber,Ransomware,1 to 9,Health,Less than 24 hours
BI1265,2024,Qtr 1,Users,Official documents,Ongoing,Cyber,Ransomware,1 to 9,Health,Less than 24 hours
BI1266,2024,Qtr 1,Users,Economic and financial data,No Further Action,Cyber,Phishing attack,1 to 9,Health,72 hours to 1 week
BI1266,2024,Qtr 1,Users,Basic personal identifiers,No Further Action,Cyber,Phishing attack,1 to 9,Health,72 hours to 1 week
BI1266,2024,Qtr 1,Users,Identification data,No Further Action,Cyber,Phishing attack,1 to 9,Health,72 hours to 1 week
BI1267,2024,Qtr 1,Members of the public,Identification data,No Further Action,Cyber,Ransomware,1 to 9,Retail and manufacture,Less than 24 hours
BI1268,2024,Qtr 1,Patients,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Not Provided,1 to 9,Health,More than 1 week
BI1269,2024,Qtr 1,Employees,Economic and financial data,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,100 to 1k,Retail and manufacture,More than 1 week
BI1269,2024,Qtr 1,Employees,Official documents,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,100 to 1k,Retail and manufacture,More than 1 week
BI1269,2024,Qtr 1,Employees,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,100 to 1k,Retail and manufacture,More than 1 week
BI1270,2024,Qtr 1,Members of the public,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Not Provided,1 to 9,Health,Less than 24 hours
BI1270,2024,Qtr 1,Members of the public,Location data,No Further Action,Non Cyber,Not Provided,1 to 9,Health,Less than 24 hours
BI1271,2024,Qtr 1,Users,Official documents,Investigation Pursued,Non Cyber,Data emailed to incorrect recipient,1 to 9,Transport and leisure,72 hours to 1 week
BI1271,2024,Qtr 1,Users,Data revealing racial or ethnic origin,Investigation Pursued,Non Cyber,Data emailed to incorrect recipient,1 to 9,Transport and leisure,72 hours to 1 week
BI1271,2024,Qtr 1,Users,Health data,Investigation Pursued,Non Cyber,Data emailed to incorrect recipient,1 to 9,Transport and leisure,72 hours to 1 week
BI1271,2024,Qtr 1,Users,Criminal offence data,Investigation Pursued,Non Cyber,Data emailed to incorrect recipient,1 to 9,Transport and leisure,72 hours to 1 week
BI1272,2024,Qtr 1,Children,Location data,No Further Action,Non Cyber,Data left on screen in public location,1k to 10k,Legal,72 hours to 1 week
BI1273,2024,Qtr 1,Members of the public,Criminal offence data,No Further Action,Non Cyber,Not Provided,100 to 1k,General business,Less than 24 hours
BI1273,2024,Qtr 1,Members of the public,Identification data,No Further Action,Non Cyber,Not Provided,100 to 1k,General business,Less than 24 hours
BI1273,2024,Qtr 1,Members of the public,Basic personal identifiers,No Further Action,Non Cyber,Not Provided,100 to 1k,General business,Less than 24 hours
BI1273,2024,Qtr 1,Members of the public,Health data,No Further Action,Non Cyber,Not Provided,100 to 1k,General business,Less than 24 hours
BI1274,2024,Qtr 1,Subscribers,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Not Provided,1 to 9,Legal,Less than 24 hours
BI1275,2024,Qtr 1,Customers or prospective customers,Identification data,No Further Action,Non Cyber,Verbal disclosure of personal data,10 to 99,Local government,More than 1 week
BI1276,2024,Qtr 1,Employees,Data revealing racial or ethnic origin,Investigation Pursued,Cyber,Ransomware,100 to 1k,Land or property services,Less than 24 hours
BI1276,2024,Qtr 1,Employees,Basic personal identifiers,Investigation Pursued,Cyber,Ransomware,100 to 1k,Land or property services,Less than 24 hours
BI1277,2024,Qtr 1,Users,Health data,Action Taken,Non Cyber,Loss/theft of device containing personal data,10 to 99,"Finance, insurance and credit",Less than 24 hours
BI1278,2024,Qtr 1,Employees,Basic personal identifiers,No Further Action,Non Cyber,Not Provided,10 to 99,Legal,Less than 24 hours
BI1278,2024,Qtr 1,Employees,Economic and financial data,No Further Action,Non Cyber,Not Provided,10 to 99,Legal,Less than 24 hours
BI1279,2024,Qtr 1,Employees,Location data,Ongoing,Non Cyber,Not Provided,10 to 99,Health,Less than 24 hours
BI1279,2024,Qtr 1,Employees,Health data,Ongoing,Non Cyber,Not Provided,10 to 99,Health,Less than 24 hours
BI1279,2024,Qtr 1,Employees,Economic and financial data,Ongoing,Non Cyber,Not Provided,10 to 99,Health,Less than 24 hours
BI1280,2024,Qtr 1,Patients,Health data,Action Taken,Cyber,Malware (not ransomware),1 to 9,Retail and manufacture,Less than 24 hours
BI1280,2024,Qtr 1,Patients,Economic and financial data,Action Taken,Cyber,Malware (not ransomware),1 to 9,Retail and manufacture,Less than 24 hours
BI1281,2024,Qtr 1,Customers or prospective customers,Health data,No Further Action,Non Cyber,Data emailed to incorrect recipient,1 to 9,General business,More than 1 week
BI1281,2024,Qtr 1,Customers or prospective customers,Criminal offence data,No Further Action,Non Cyber,Data emailed to incorrect recipient,1 to 9,General business,More than 1 week
BI1281,2024,Qtr 1,Customers or prospective customers,Official documents,No Further Action,Non Cyber,Data emailed to incorrect recipient,1 to 9,General business,More than 1 week
BI1282,2024,Qtr 1,Children,Basic personal identifiers,No Further Action,Cyber,Phishing attack,1 to 9,Health,24 hours to 72 hours
BI1282,2024,Qtr 1,Children,Location data,No Further Action,Cyber,Phishing attack,1 to 9,Health,24 hours to 72 hours
BI1282,2024,Qtr 1,Children,Official documents,No Further Action,Cyber,Phishing attack,1 to 9,Health,24 hours to 72 hours
BI1282,2024,Qtr 1,Children,Identification data,No Further Action,Cyber,Phishing attack,1 to 9,Health,24 hours to 72 hours
BI1283,2024,Qtr 1,Children,Basic personal identifiers,No Further Action,Non Cyber,Not Provided,1 to 9,Education and childcare,Less than 24 hours
BI1283,2024,Qtr 1,Children,Health data,No Further Action,Non Cyber,Not Provided,1 to 9,Education and childcare,Less than 24 hours
BI1284,2024,Qtr 1,Members of the public,Official documents,No Further Action,Cyber,Other cyber attack,1 to 9,Charitable and voluntary,Less than 24 hours
BI1284,2024,Qtr 1,Members of the public,Basic personal identifiers,No Further Action,Cyber,Other cyber attack,1 to 9,Charitable and voluntary,Less than 24 hours
BI1284,2024,Qtr 1,Members of the public,Location data,No Further Action,Cyber,Other cyber attack,1 to 9,Charitable and voluntary,Less than 24 hours
BI1285,2024,Qtr 1,Children,Criminal offence data,Investigation Pursued,Non Cyber,Data left on screen in public location,10 to 99,Health,24 hours to 72 hours
BI1285,2024,Qtr 1,Children,Data revealing racial or ethnic origin,Investigation Pursued,Non Cyber,Data left on screen in public location,10 to 99,Health,24 hours to 72 hours
BI1286,2024,Qtr 1,Customers or prospective customers,Basic personal identifiers,Ongoing,Non Cyber,Not Provided,1 to 9,Retail and manufacture,Less than 24 hours
BI1286,2024,Qtr 1,Customers or prospective customers,Economic and financial data,Ongoing,Non Cyber,Not Provided,1 to 9,Retail and manufacture,Less than 24 hours
BI1287,2024,Qtr 1,Users,Basic personal identifiers,No Further Action,Non Cyber,Not Provided,10k to 100k,Retail and manufacture,24 hours to 72 hours
BI1287,2024,Qtr 1,Users,Health data,No Further Action,Non Cyber,Not Provided,10k to 100k,Retail and manufacture,24 hours to 72 hours
BI1288,2024,Qtr 1,Employees,Health data,Investigation Pursued,Cyber,Other cyber attack,1 to 9,Health,24 hours to 72 hours
BI1288,2024,Qtr 1,Employees,Location data,Investigation Pursued,Cyber,Other cyber attack,1 to 9,Health,24 hours to 72 hours
BI1288,2024,Qtr 1,Employees,Basic personal identifiers,Investigation Pursued,Cyber,Other cyber attack,1 to 9,Health,24 hours to 72 hours
BI1288,2024,Qtr 1,Employees,Data revealing racial or ethnic origin,Investigation Pursued,Cyber,Other cyber attack,1 to 9,Health,24 hours to 72 hours
BI1289,2024,Qtr 1,Service users,Official documents,Investigation Pursued,Non Cyber,Data left on screen in public location,1 to 9,Legal,Less than 24 hours
BI1290,2024,Qtr 1,Employees,Health data,No Further Action,Cyber,Ransomware,1 to 9,Retail and manufacture,Less than 24 hours
BI1290,2024,Qtr 1,Employees,Criminal offence data,No Further Action,Cyber,Ransomware,1 to 9,Retail and manufacture,Less than 24 hours
BI1290,2024,Qtr 1,Employees,Basic personal identifiers,No Further Action,Cyber,Ransomware,1 to 9,Retail and manufacture,Less than 24 hours
BI1291,2024,Qtr 1,Employees,Health data,Investigation Pursued,Non Cyber,Data emailed to incorrect recipient,10 to 99,General business,24 hours to 72 hours
BI1291,2024,Qtr 1,Employees,Basic personal identifiers,Investigation Pursued,Non Cyber,Data emailed to incorrect recipient,10 to 99,General business,24 hours to 72 hours
BI1292,2024,Qtr 1,Subscribers,Identification data,No Further Action,Non Cyber,Not Provided,100 to 1k,Charitable and voluntary,24 hours to 72 hours
BI1293,2024,Qtr 1,Patients,Identification data,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,1k to 10k,Education and childcare,More than 1 week
BI1293,2024,Qtr 1,Patients,Basic personal identifiers,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,1k to 10k,Education and childcare,More than 1 week
BI1293,2024,Qtr 1,Patients,Criminal offence data,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,1k to 10k,Education and childcare,More than 1 week
BI1294,2024,Qtr 1,Patients,Official documents,Ongoing,Non Cyber,Data emailed to incorrect recipient,1 to 9,Charitable and voluntary,More than 1 week
BI1294,2024,Qtr 1,Patients,Criminal offence data,Ongoing,Non Cyber,Data emailed to incorrect recipient,1 to 9,Charitable and voluntary,More than 1 week
BI1294,2024,Qtr 1,Patients,Data revealing racial or ethnic origin,Ongoing,Non Cyber,Data emailed to incorrect recipient,1 to 9,Charitable and voluntary,More than 1 week
BI1295,2024,Qtr 1,Subscribers,Economic and financial data,No Further Action,Non Cyber,Not Provided,1k to 10k,Local government,Less than 24 hours
BI1295,2024,Qtr 1,Subscribers,Basic personal identifiers,No Further Action,Non Cyber,Not Provided,1k to 10k,Local government,Less than 24 hours
BI1296,2024,Qtr 1,Service users,Data revealing racial or ethnic origin,No Further Action,Cyber,Phishing attack,10 to 99,Health,More than 1 week
BI1296,2024,Qtr 1,Service users,Official documents,No Further Action,Cyber,Phishing attack,10 to 99,Health,More than 1 week
BI1297,2024,Qtr 1,Users,Identification data,Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,Less than 24 hours
BI1297,2024,Qtr 1,Users,Official documents,Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,Less than 24 hours
BI1298,2024,Qtr 1,Customers or prospective customers,Identification data,No Further Action,Cyber,Unauthorised access,10 to 99,General business,Less than 24 hours
BI1298,2024,Qtr 1,Customers or prospective customers,Official documents,No Further Action,Cyber,Unauthorised access,10 to 99,General business,Less than 24 hours
BI1299,2024,Qtr 1,Employees,Data revealing racial or ethnic origin,No Further Action,Cyber,Ransomware,1k to 10k,Online technology and telecoms,24 hours to 72 hours
BI1299,2024,Qtr 1,Employees,Economic and financial data,No Further Action,Cyber,Ransomware,1k to 10k,Online technology and telecoms,24 hours to 72 hours
BI1300,2024,Qtr 1,Children,Official documents,No Further Action,Non Cyber,Data emailed to incorrect recipient,100 to 1k,Health,72 hours to 1 week
BI1300,2024,Qtr 1,Children,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Data emailed to incorrect recipient,100 to 1k,Health,72 hours to 1 week
BI1301,2024,Qtr 1,Service users,Identification data,Action Taken,Non Cyber,Not Provided,1k to 10k,Online technology and telecoms,Less than 24 hours
BI1302,2024,Qtr 1,Subscribers,Basic personal identifiers,Investigation Pursued,Cyber,Brute force attack,100 to 1k,Education and childcare,Less than 24 hours
BI1302,2024,Qtr 1,Subscribers,Official documents,Investigation Pursued,Cyber,Brute force attack,100 to 1k,Education and childcare,Less than 24 hours
BI1303,2024,Qtr 1,Members of the public,Location data,Ongoing,Non Cyber,Data left on screen in public location,100 to 1k,Land or property services,Less than 24 hours
BI1303,2024,Qtr 1,Members of the public,Health data,Ongoing,Non Cyber,Data left on screen in public location,100 to 1k,Land or property services,Less than 24 hours
BI1304,2024,Qtr 1,Employees,Economic and financial data,No Further Action,Non Cyber,Data left on screen in public location,1 to 9,Health,Less than 24 hours
BI1304,2024,Qtr 1,Employees,Criminal offence data,No Further Action,Non Cyber,Data left on screen in public location,1 to 9,Health,Less than 24 hours
BI1305,2024,Qtr 1,Service users,Official documents,Investigation Pursued,Cyber,Ransomware,1k to 10k,Central government,Less than 24 hours
BI1305,2024,Qtr 1,Service users,Basic personal identifiers,Investigation Pursued,Cyber,Ransomware,1k to 10k,Central government,Less than 24 hours
BI1305,2024,Qtr 1,Service users,Economic and financial data,Investigation Pursued,Cyber,Ransomware,1k to 10k,Central government,Less than 24 hours
BI1306,2024,Qtr 1,Subscribers,Criminal offence data,Investigation Pursued,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Local government,More than 1 week
BI1306,2024,Qtr 1,Subscribers,Official documents,Investigation Pursued,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Local government,More than 1 week
BI1307,2024,Qtr 1,Users,Economic and financial data,Investigation Pursued,Cyber,Malware (not ransomware),1 to 9,Health,More than 1 week
BI1307,2024,Qtr 1,Users,Identification data,Investigation Pursued,Cyber,Malware (not ransomware),1 to 9,Health,More than 1 week
BI1308,2024,Qtr 1,Subscribers,Basic personal identifiers,Investigation Pursued,Non Cyber,Data posted or faxed to incorrect recipient,10 to 99,Retail and manufacture,Less than 24 hours
BI1308,2024,Qtr 1,Subscribers,Health data,Investigation Pursued,Non Cyber,Data posted or faxed to incorrect recipient,10 to 99,Retail and manufacture,Less than 24 hours
BI1308,2024,Qtr 1,Subscribers,Location data,Investigation Pursued,Non Cyber,Data posted or faxed to incorrect recipient,10 to 99,Retail and manufacture,Less than 24 hours
BI1309,2024,Qtr 1,Subscribers,Identification data,Ongoing,Cyber,Phishing attack,1 to 9,Land or property services,24 hours to 72 hours
BI1309,2024,Qtr 1,Subscribers,Economic and financial data,Ongoing,Cyber,Phishing attack,1 to 9,Land or property services,24 hours to 72 hours
BI1310,2024,Qtr 1,Children,Location data,Investigation Pursued,Cyber,Phishing attack,100 to 1k,Health,72 hours to 1 week
BI1310,2024,Qtr 1,Children,Health data,Investigation Pursued,Cyber,Phishing attack,100 to 1k,Health,72 hours to 1 week
BI1311,2024,Qtr 1,Members of the public,Economic and financial data,No Further Action,Non Cyber,Not Provided,10 to 99,Legal,72 hours to 1 week
BI1311,2024,Qtr 1,Members of the public,Identification data,No Further Action,Non Cyber,Not Provided,10 to 99,Legal,72 hours to 1 week
BI1312,2024,Qtr 1,Patients,Identification data,Investigation Pursued,Non Cyber,Failure to redact,10 to 99,Central government,More than 1 week
BI1312,2024,Qtr 1,Patients,Health data,Investigation Pursued,Non Cyber,Failure to redact,10 to 99,Central government,More than 1 week
BI1312,2024,Qtr 1,Patients,Criminal offence data,Investigation Pursued,Non Cyber,Failure to redact,10 to 99,Central government,More than 1 week
BI1313,2024,Qtr 1,Patients,Economic and financial data,No Further Action,Non Cyber,Data emailed to incorrect recipient,1 to 9,Charitable and voluntary,Less than 24 hours
BI1313,2024,Qtr 1,Patients,Official documents,No Further Action,Non Cyber,Data emailed to incorrect recipient,1 to 9,Charitable and voluntary,Less than 24 hours
BI1313,2024,Qtr 1,Patients,Basic personal identifiers,No Further Action,Non Cyber,Data emailed to incorrect recipient,1 to 9,Charitable and voluntary,Less than 24 hours
BI1314,2024,Qtr 1,Customers or prospective customers,Data revealing racial or ethnic origin,No Further Action,Cyber,Other cyber attack,10 to 99,Education and childcare,72 hours to 1 week
BI1314,2024,Qtr 1,Customers or prospective customers,Health data,No Further Action,Cyber,Other cyber attack,10 to 99,Education and childcare,72 hours to 1 week
BI1315,2024,Qtr 1,Users,Location data,Investigation Pursued,Non Cyber,Data posted or faxed to incorrect recipient,10 to 99,Health,72 hours to 1 week
BI1316,2024,Qtr 1,Members of the public,Location data,No Further Action,Non Cyber,Data left on screen in public location,1 to 9,"Finance, insurance and credit",More than 1 week
BI1316,2024,Qtr 1,Members of the public,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Data left on screen in public location,1 to 9,"Finance, insurance and credit",More than 1 week
BI1317,2024,Qtr 1,Members of the public,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Data posted or faxed to incorrect recipient,100 to 1k,"Finance, insurance and credit",Less than 24 hours
BI1318,2024,Qtr 1,Customers or prospective customers,Criminal offence data,No Further Action,Non Cyber,Data emailed to incorrect recipient,100 to 1k,General business,24 hours to 72 hours
BI1319,2024,Qtr 1,Subscribers,Health data,No Further Action,Non Cyber,Data posted or faxed to incorrect recipient,100 to 1k,"Finance, insurance and credit",Less than 24 hours
BI1319,2024,Qtr 1,Subscribers,Official documents,No Further Action,Non Cyber,Data posted or faxed to incorrect recipient,100 to 1k,"Finance, insurance and credit",Less than 24 hours
BI1320,2024,Qtr 1,Children,Criminal offence data,No Further Action,Non Cyber,Not Provided,1 to 9,Charitable and voluntary,Less than 24 hours
BI1320,2024,Qtr 1,Children,Location data,No Further Action,Non Cyber,Not Provided,1 to 9,Charitable and voluntary,Less than 24 hours
BI1321,2024,Qtr 1,Employees,Economic and financial data,No Further Action,Non Cyber,Not Provided,1k to 10k,General business,72 hours to 1 week
BI1321,2024,Qtr 1,Employees,Basic personal identifiers,No Further Action,Non Cyber,Not Provided,1k to 10k,General business,72 hours to 1 week
BI1321,2024,Qtr 1,Employees,Identification data,No Further Action,Non Cyber,Not Provided,1k to 10k,General business,72 hours to 1 week
BI1322,2024,Qtr 1,Employees,Identification data,No Further Action,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Land or property services,Less than 24 hours
BI1322,2024,Qtr 1,Employees,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Land or property services,Less than 24 hours
BI1323,2024,Qtr 1,Users,Official documents,No Further Action,Non Cyber,Not Provided,1 to 9,Transport and leisure,More than 1 week
BI1324,2024,Qtr 1,Employees,Economic and financial data,Investigation Pursued,Cyber,Phishing attack,100 to 1k,General business,72 hours to 1 week
BI1325,2024,Qtr 1,Service users,Official documents,No Further Action,Non Cyber,Not Provided,100 to 1k,Local government,Less than 24 hours
BI1325,2024,Qtr 1,Service users,Identification data,No Further Action,Non Cyber,Not Provided,100 to 1k,Local government,Less than 24 hours
BI1325,2024,Qtr 1,Service users,Economic and financial data,No Further Action,Non Cyber,Not Provided,100 to 1k,Local government,Less than 24 hours
BI1326,2024,Qtr 1,Service users,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Verbal disclosure of personal data,10 to 99,Legal,Less than 24 hours
BI1326,2024,Qtr 1,Service users,Basic personal identifiers,No Further Action,Non Cyber,Verbal disclosure of personal data,10 to 99,Legal,Less than 24 hours
BI1327,2024,Qtr 1,Users,Location data,Ongoing,Non Cyber,Data posted or faxed to incorrect recipient,100 to 1k,Central government,72 hours to 1 week
BI1328,2024,Qtr 1,Service users,Criminal offence data,Action Taken,Non Cyber,Not Provided,1 to 9,"Finance, insurance and credit",Less than 24 hours
BI1328,2024,Qtr 1,Service users,Data revealing racial or ethnic origin,Action Taken,Non Cyber,Not Provided,1 to 9,"Finance, insurance and credit",Less than 24 hours
BI1328,2024,Qtr 1,Service users,Economic and financial data,Action Taken,Non Cyber,Not Provided,1 to 9,"Finance, insurance and credit",Less than 24 hours
BI1328,2024,Qtr 1,Service users,Official documents,Action Taken,Non Cyber,Not Provided,1 to 9,"Finance, insurance and credit",Less than 24 hours
BI1329,2024,Qtr 1,Customers or prospective customers,Official documents,No Further Action,Non Cyber,Verbal disclosure of personal data,10 to 99,Local government,More than 1 week
BI1329,2024,Qtr 1,Customers or prospective customers,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Verbal disclosure of personal data,10 to 99,Local government,More than 1 week
BI1330,2024,Qtr 1,Children,Basic personal identifiers,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,100 to 1k,General business,24 hours to 72 hours
BI1330,2024,Qtr 1,Children,Health data,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,100 to 1k,General business,24 hours to 72 hours
